_displayCat, _topicid, _docCutoff, _termCutoff, _name,,, ,, _numterms, _numdocs,
Multiple,1,0.116,0.035," ""+order", +place, +number, accidentally," +order""",25,181, 
Multiple,2,0.121,0.033," ""+renew", january, +membership, org," +check""",12,90, 
Multiple,3,0.143,0.035," ""+donation", +monthly donation, +cancel, monthly," onetime""",22,314, 
Multiple,4,0.117,0.034," ""+donor", +refund, emailissue, description," pawprint""",25,90, 
Multiple,5,0.115,0.033," ""+confirm", +check, lation, +bill," date""",10,67, 
Multiple,6,0.108,0.035," ""remove", +list, +mailing, +receive," +remove""",29,116, 
Multiple,7,0.098,0.036," ""+arrive", +ship, christmas, +receive," +order""",48,125, 
Multiple,8,0.098,0.035," ""+attach", +replacement, voicemail, +arrive," +receive""",23,52, 
Multiple,9,0.102,0.035," ""+card", credit, +charge, credit card," +payment""",38,141, 
Multiple,10,0.107,0.035," ""+membership", +cancel, +receive, +solicitation," +member""",31,208, 
Multiple,11,0.093,0.036," ""sworldwildlifeorg", gift, december, sworldwildlifeorgdate," +habitat""",44,100, 
Multiple,12,0.103,0.034," ""+renewal", +check, +membership, org," check""",31,71, 
Multiple,13,0.093,0.036," ""+fund", sep, mon, nov," wed""",37,143, 
Multiple,14,0.1,0.036," ""+address", shipping, +mailing, +contribution," +ship""",35,226, 
Multiple,15,0.092,0.037," ""+large", +calendar, +receive, +photo," +size""",53,133, 
Multiple,16,0.086,0.035," ""+back", team, megan, franci," meganfranciusorg""",37,55, 
Multiple,17,0.097,0.036," ""plush", +adoption, +kit, +receive," +plush animal""",44,111, 
Multiple,18,0.097,0.036," ""+stuff", +daughter, +receive, +animal," christmas""",39,90, 
Multiple,19,0.091,0.034," ""ny", +address, +solicitation, street," remove""",26,32, 
Multiple,20,0.087,0.037," ""+time", +situation, +good, +cancel," onetime""",59,100, 
Multiple,21,0.083,0.036," ""immediately", +due, +circumstance, unforeseen," reduce""",39,73, 
Multiple,22,0.088,0.035," ""+elephant", +good, +god, +ship," +stuff""",22,49, 
Multiple,23,0.081,0.035," ""+god", +good, +year, +calendar," happy""",36,48, 
Multiple,24,0.085,0.039," ""+check", +solicitation, +year, +request," +receive""",85,150, 
Multiple,25,0.084,0.037," ""+photo", +daughter, christmas, +certificate," +adoption""",60,114, 
